diagnosticos_principales,sexos_id,sexos_nombre,urgencia_ingreso,estancia_media_hospitales_canarias,notas_observacion
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",M,Hombres,Ordinario,638.69,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",M,Hombres,Urgente,66.54,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",F,Mujeres,Total,98.57,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",F,Mujeres,Ordinario,1035.72,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",F,Mujeres,Urgente,32.18,
0505 Trastornos del humor (afectivos)  F30-F39,T,Ambos sexos,Total,36.53,
0505 Trastornos del humor (afectivos)  F30-F39,T,Ambos sexos,Ordinario,185.09,
0505 Trastornos del humor (afectivos)  F30-F39,T,Ambos sexos,Urgente,22.40,
0505 Trastornos del humor (afectivos)  F30-F39,M,Hombres,Total,42.66,
0505 Trastornos del humor (afectivos)  F30-F39,M,Hombres,Ordinario,211.76,
0505 Trastornos del humor (afectivos)  F30-F39,M,Hombres,Urgente,20.83,
0505 Trastornos del humor (afectivos)  F30-F39,F,Mujeres,Total,31.93,
0505 Trastornos del humor (afectivos)  F30-F39,F,Mujeres,Ordinario,150.51,
0505 Trastornos del humor (afectivos)  F30-F39,F,Mujeres,Urgente,23.52,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),T,Ambos sexos,Total,33.85,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),T,Ambos sexos,Ordinario,127.83,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),T,Ambos sexos,Urgente,17.72,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),M,Hombres,Total,20.41,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),M,Hombres,Ordinario,28.90,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),M,Hombres,Urgente,18.30,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),F,Mujeres,Total,43.46,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),F,Mujeres,Ordinario,258.11,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),F,Mujeres,Urgente,17.36,
0600 Enfermedades del sistema nervioso G00-G99,T,Ambos sexos,Total,22.29,
0600 Enfermedades del sistema nervioso G00-G99,T,Ambos sexos,Ordinario,39.50,
0600 Enfermedades del sistema nervioso G00-G99,T,Ambos sexos,Urgente,14.79,
0600 Enfermedades del sistema nervioso G00-G99,M,Hombres,Total,22.14,
0600 Enfermedades del sistema nervioso G00-G99,M,Hombres,Ordinario,37.31,
0600 Enfermedades del sistema nervioso G00-G99,M,Hombres,Urgente,15.14,
0600 Enfermedades del sistema nervioso G00-G99,F,Mujeres,Total,22.45,
0600 Enfermedades del sistema nervioso G00-G99,F,Mujeres,Ordinario,42.03,
0600 Enfermedades del sistema nervioso G00-G99,F,Mujeres,Urgente,14.42,
0601 Enfermedad de Alzheimer G30,T,Ambos sexos,Total,139.61,
0601 Enfermedad de Alzheimer G30,T,Ambos sexos,Ordinario,316.05,
0601 Enfermedad de Alzheimer G30,T,Ambos sexos,Urgente,61.41,
0601 Enfermedad de Alzheimer G30,M,Hombres,Total,144.57,
0601 Enfermedad de Alzheimer G30,M,Hombres,Ordinario,260.63,
0601 Enfermedad de Alzheimer G30,M,Hombres,Urgente,78.62,
0601 Enfermedad de Alzheimer G30,F,Mujeres,Total,137.07,
0601 Enfermedad de Alzheimer G30,F,Mujeres,Ordinario,352.89,
0601 Enfermedad de Alzheimer G30,F,Mujeres,Urgente,53.63,
0602 Esclerosis múltiple G35,T,Ambos sexos,Total,16.82,
0602 Esclerosis múltiple G35,T,Ambos sexos,Ordinario,22.65,
0602 Esclerosis múltiple G35,T,Ambos sexos,Urgente,7.80,
0602 Esclerosis múltiple G35,M,Hombres,Total,19.44,
0602 Esclerosis múltiple G35,M,Hombres,Ordinario,22.80,
0602 Esclerosis múltiple G35,M,Hombres,Urgente,8.25,
0602 Esclerosis múltiple G35,F,Mujeres,Total,13.81,
0602 Esclerosis múltiple G35,F,Mujeres,Ordinario,22.35,
0602 Esclerosis múltiple G35,F,Mujeres,Urgente,7.59,
0603 Epilepsia G40,T,Ambos sexos,Total,14.83,
0603 Epilepsia G40,T,Ambos sexos,Ordinario,35.84,
0603 Epilepsia G40,T,Ambos sexos,Urgente,10.38,
0603 Epilepsia G40,M,Hombres,Total,10.26,
0603 Epilepsia G40,M,Hombres,Ordinario,11.23,
0603 Epilepsia G40,M,Hombres,Urgente,10.12,
0603 Epilepsia G40,F,Mujeres,Total,20.00,
0603 Epilepsia G40,F,Mujeres,Ordinario,50.81,
0603 Epilepsia G40,F,Mujeres,Urgente,10.71,
0604 Isquemia cerebral transitoria G45,T,Ambos sexos,Total,16.07,
0604 Isquemia cerebral transitoria G45,T,Ambos sexos,Ordinario,101.42,
0604 Isquemia cerebral transitoria G45,T,Ambos sexos,Urgente,7.80,
0604 Isquemia cerebral transitoria G45,M,Hombres,Total,18.49,
0604 Isquemia cerebral transitoria G45,M,Hombres,Ordinario,140.31,
0604 Isquemia cerebral transitoria G45,M,Hombres,Urgente,8.01,
0604 Isquemia cerebral transitoria G45,F,Mujeres,Total,13.01,
0604 Isquemia cerebral transitoria G45,F,Mujeres,Ordinario,62.35,
0604 Isquemia cerebral transitoria G45,F,Mujeres,Urgente,7.54,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),T,Ambos sexos,Total,21.75,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),T,Ambos sexos,Ordinario,31.41,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),T,Ambos sexos,Urgente,16.42,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),M,Hombres,Total,23.21,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),M,Hombres,Ordinario,32.29,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),M,Hombres,Urgente,17.61,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),F,Mujeres,Total,20.24,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),F,Mujeres,Ordinario,30.37,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),F,Mujeres,Urgente,15.30,
0700 Enfermedades del ojo y sus anexos H00-H59,T,Ambos sexos,Total,3.82,
0700 Enfermedades del ojo y sus anexos H00-H59,T,Ambos sexos,Ordinario,2.48,
0700 Enfermedades del ojo y sus anexos H00-H59,T,Ambos sexos,Urgente,5.63,
0700 Enfermedades del ojo y sus anexos H00-H59,M,Hombres,Total,3.96,
0700 Enfermedades del ojo y sus anexos H00-H59,M,Hombres,Ordinario,2.55,
0700 Enfermedades del ojo y sus anexos H00-H59,M,Hombres,Urgente,5.99,
0700 Enfermedades del ojo y sus anexos H00-H59,F,Mujeres,Total,3.65,
0700 Enfermedades del ojo y sus anexos H00-H59,F,Mujeres,Ordinario,2.38,
0700 Enfermedades del ojo y sus anexos H00-H59,F,Mujeres,Urgente,5.22,
"0701 Catarata H25-H26, H28",T,Ambos sexos,Total,2.63,
"0701 Catarata H25-H26, H28",T,Ambos sexos,Ordinario,2.37,
"0701 Catarata H25-H26, H28",T,Ambos sexos,Urgente,2.90,
"0701 Catarata H25-H26, H28",M,Hombres,Total,3.33,
"0701 Catarata H25-H26, H28",M,Hombres,Ordinario,2.00,
"0701 Catarata H25-H26, H28",M,Hombres,Urgente,5.17,
"0701 Catarata H25-H26, H28",F,Mujeres,Total,1.91,
"0701 Catarata H25-H26, H28",F,Mujeres,Ordinario,2.85,
"0701 Catarata H25-H26, H28",F,Mujeres,Urgente,1.10,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),T,Ambos sexos,Total,4.00,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),T,Ambos sexos,Ordinario,2.49,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),T,Ambos sexos,Urgente,6.10,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),M,Hombres,Total,4.04,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),M,Hombres,Ordinario,2.62,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),M,Hombres,Urgente,6.11,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),F,Mujeres,Total,3.94,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),F,Mujeres,Ordinario,2.31,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),F,Mujeres,Urgente,6.10,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,T,Ambos sexos,Total,3.77,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,T,Ambos sexos,Ordinario,2.14,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,T,Ambos sexos,Urgente,5.69,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,M,Hombres,Total,3.78,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,M,Hombres,Ordinario,2.24,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,M,Hombres,Urgente,5.23,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,F,Mujeres,Total,3.76,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,F,Mujeres,Ordinario,2.06,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,F,Mujeres,Urgente,6.28,
0900 Enfermedades del aparato circulatorio I00-I99,T,Ambos sexos,Total,14.25,
0900 Enfermedades del aparato circulatorio I00-I99,T,Ambos sexos,Ordinario,19.01,
0900 Enfermedades del aparato circulatorio I00-I99,T,Ambos sexos,Urgente,12.57,
0900 Enfermedades del aparato circulatorio I00-I99,M,Hombres,Total,13.54,
0900 Enfermedades del aparato circulatorio I00-I99,M,Hombres,Ordinario,16.49,
0900 Enfermedades del aparato circulatorio I00-I99,M,Hombres,Urgente,12.47,
0900 Enfermedades del aparato circulatorio I00-I99,F,Mujeres,Total,15.27,
0900 Enfermedades del aparato circulatorio I00-I99,F,Mujeres,Ordinario,22.71,
0900 Enfermedades del aparato circulatorio I00-I99,F,Mujeres,Urgente,12.70,
0901 Enfermedad hipertensiva I10-I16,T,Ambos sexos,Total,16.12,
0901 Enfermedad hipertensiva I10-I16,T,Ambos sexos,Ordinario,31.58,
0901 Enfermedad hipertensiva I10-I16,T,Ambos sexos,Urgente,13.60,
0901 Enfermedad hipertensiva I10-I16,M,Hombres,Total,15.20,
0901 Enfermedad hipertensiva I10-I16,M,Hombres,Ordinario,26.65,
0901 Enfermedad hipertensiva I10-I16,M,Hombres,Urgente,13.37,
0901 Enfermedad hipertensiva I10-I16,F,Mujeres,Total,16.93,
0901 Enfermedad hipertensiva I10-I16,F,Mujeres,Ordinario,35.76,
0901 Enfermedad hipertensiva I10-I16,F,Mujeres,Urgente,13.80,
0902 Angina de pecho I20,T,Ambos sexos,Total,6.16,
0902 Angina de pecho I20,T,Ambos sexos,Ordinario,3.63,
0902 Angina de pecho I20,T,Ambos sexos,Urgente,7.01,
0902 Angina de pecho I20,M,Hombres,Total,6.19,
0902 Angina de pecho I20,M,Hombres,Ordinario,3.98,
0902 Angina de pecho I20,M,Hombres,Urgente,6.97,
0902 Angina de pecho I20,F,Mujeres,Total,6.08,
0902 Angina de pecho I20,F,Mujeres,Ordinario,2.82,
0902 Angina de pecho I20,F,Mujeres,Urgente,7.09,
0903 Infarto agudo de miocardio I21-I22,T,Ambos sexos,Total,10.87,
0903 Infarto agudo de miocardio I21-I22,T,Ambos sexos,Ordinario,26.88,
0903 Infarto agudo de miocardio I21-I22,T,Ambos sexos,Urgente,9.22,
0903 Infarto agudo de miocardio I21-I22,M,Hombres,Total,10.24,
0903 Infarto agudo de miocardio I21-I22,M,Hombres,Ordinario,30.69,
0903 Infarto agudo de miocardio I21-I22,M,Hombres,Urgente,8.14,
0903 Infarto agudo de miocardio I21-I22,F,Mujeres,Total,12.39,
0903 Infarto agudo de miocardio I21-I22,F,Mujeres,Ordinario,17.95,
0903 Infarto agudo de miocardio I21-I22,F,Mujeres,Urgente,11.81,
0904 Otras enfermedades isquémicas del corazón I23-I25,T,Ambos sexos,Total,7.93,
0904 Otras enfermedades isquémicas del corazón I23-I25,T,Ambos sexos,Ordinario,5.58,
0904 Otras enfermedades isquémicas del corazón I23-I25,T,Ambos sexos,Urgente,9.71,
0904 Otras enfermedades isquémicas del corazón I23-I25,M,Hombres,Total,7.97,
0904 Otras enfermedades isquémicas del corazón I23-I25,M,Hombres,Ordinario,5.78,
0904 Otras enfermedades isquémicas del corazón I23-I25,M,Hombres,Urgente,9.76,
0904 Otras enfermedades isquémicas del corazón I23-I25,F,Mujeres,Total,7.79,
0904 Otras enfermedades isquémicas del corazón I23-I25,F,Mujeres,Ordinario,4.82,
0904 Otras enfermedades isquémicas del corazón I23-I25,F,Mujeres,Urgente,9.59,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,T,Ambos sexos,Total,14.85,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,T,Ambos sexos,Ordinario,30.60,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,T,Ambos sexos,Urgente,12.73,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,M,Hombres,Total,15.82,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,M,Hombres,Ordinario,41.06,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,M,Hombres,Urgente,11.78,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,F,Mujeres,Total,13.97,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,F,Mujeres,Ordinario,17.64,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,F,Mujeres,Urgente,13.55,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,T,Ambos sexos,Total,7.13,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,T,Ambos sexos,Ordinario,7.93,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,T,Ambos sexos,Urgente,6.73,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,M,Hombres,Total,5.53,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,M,Hombres,Ordinario,2.77,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,M,Hombres,Urgente,7.04,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,F,Mujeres,Total,9.57,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,F,Mujeres,Ordinario,17.46,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,F,Mujeres,Urgente,6.30,
0907 Insuficiencia cardiaca I50,T,Ambos sexos,Total,20.53,
0907 Insuficiencia cardiaca I50,T,Ambos sexos,Ordinario,40.77,
0907 Insuficiencia cardiaca I50,T,Ambos sexos,Urgente,12.34,
0907 Insuficiencia cardiaca I50,M,Hombres,Total,20.27,
0907 Insuficiencia cardiaca I50,M,Hombres,Ordinario,44.34,
0907 Insuficiencia cardiaca I50,M,Hombres,Urgente,13.00,
0907 Insuficiencia cardiaca I50,F,Mujeres,Total,20.77,
0907 Insuficiencia cardiaca I50,F,Mujeres,Ordinario,38.46,
0907 Insuficiencia cardiaca I50,F,Mujeres,Urgente,11.62,
0908 Enfermedades cerebrovasculares I60-I69,T,Ambos sexos,Total,22.25,
0908 Enfermedades cerebrovasculares I60-I69,T,Ambos sexos,Ordinario,46.47,
0908 Enfermedades cerebrovasculares I60-I69,T,Ambos sexos,Urgente,16.61,
0908 Enfermedades cerebrovasculares I60-I69,M,Hombres,Total,22.31,
0908 Enfermedades cerebrovasculares I60-I69,M,Hombres,Ordinario,45.35,
0908 Enfermedades cerebrovasculares I60-I69,M,Hombres,Urgente,17.49,
0908 Enfermedades cerebrovasculares I60-I69,F,Mujeres,Total,22.18,
0908 Enfermedades cerebrovasculares I60-I69,F,Mujeres,Ordinario,47.62,
0908 Enfermedades cerebrovasculares I60-I69,F,Mujeres,Urgente,15.47,
0909 Aterosclerosis I70,T,Ambos sexos,Total,15.67,
0909 Aterosclerosis I70,T,Ambos sexos,Ordinario,5.28,
0909 Aterosclerosis I70,T,Ambos sexos,Urgente,26.93,
0909 Aterosclerosis I70,M,Hombres,Total,16.14,
0909 Aterosclerosis I70,M,Hombres,Ordinario,5.46,
0909 Aterosclerosis I70,M,Hombres,Urgente,26.95,
0909 Aterosclerosis I70,F,Mujeres,Total,14.41,
0909 Aterosclerosis I70,F,Mujeres,Ordinario,4.84,
0909 Aterosclerosis I70,F,Mujeres,Urgente,26.86,
0910 Venas varicosas de las extremidades inferiores I83,T,Ambos sexos,Total,1.85,
0910 Venas varicosas de las extremidades inferiores I83,T,Ambos sexos,Ordinario,1.06,
0910 Venas varicosas de las extremidades inferiores I83,T,Ambos sexos,Urgente,7.65,
0910 Venas varicosas de las extremidades inferiores I83,M,Hombres,Total,1.78,
0910 Venas varicosas de las extremidades inferiores I83,M,Hombres,Ordinario,1.14,
0910 Venas varicosas de las extremidades inferiores I83,M,Hombres,Urgente,6.84,
0910 Venas varicosas de las extremidades inferiores I83,F,Mujeres,Total,1.90,
0910 Venas varicosas de las extremidades inferiores I83,F,Mujeres,Ordinario,1.01,
0910 Venas varicosas de las extremidades inferiores I83,F,Mujeres,Urgente,8.17,
0911 Otras Enfermedades del aparato circulatorio Resto de (I00-I99),T,Ambos sexos,Total,11.83,
0911 Otras Enfermedades del aparato circulatorio Resto de (I00-I99),T,Ambos sexos,Ordinario,10.10,
0911 Otras Enfermedades del aparato circulatorio Resto de (I00-I99),T,Ambos sexos,Urgente,13.05,
0911 Otras Enfermedades del aparato circulatorio Resto de (I00-I99),M,Hombres,Total,12.40,
0911 Otras Enfermedades del aparato circulatorio Resto de (I00-I99),M,Hombres,Ordinario,10.61,
0911 Otras Enfermedades del aparato circulatorio Resto de (I00-I99),M,Hombres,Urgente,13.74,
0911 Otras Enfermedades del aparato circulatorio Resto de (I00-I99),F,Mujeres,Total,10.98,
0911 Otras Enfermedades del aparato circulatorio Resto de (I00-I99),F,Mujeres,Ordinario,9.25,
0911 Otras Enfermedades del aparato circulatorio Resto de (I00-I99),F,Mujeres,Urgente,12.07,
1000 Enfermedades del aparato respiratorio J00-J99,T,Ambos sexos,Total,14.86,
1000 Enfermedades del aparato respiratorio J00-J99,T,Ambos sexos,Ordinario,30.57,
1000 Enfermedades del aparato respiratorio J00-J99,T,Ambos sexos,Urgente,10.24,
1000 Enfermedades del aparato respiratorio J00-J99,M,Hombres,Total,14.16,
1000 Enfermedades del aparato respiratorio J00-J99,M,Hombres,Ordinario,27.88,
1000 Enfermedades del aparato respiratorio J00-J99,M,Hombres,Urgente,10.28,
1000 Enfermedades del aparato respiratorio J00-J99,F,Mujeres,Total,15.64,
1000 Enfermedades del aparato respiratorio J00-J99,F,Mujeres,Ordinario,33.41,
1000 Enfermedades del aparato respiratorio J00-J99,F,Mujeres,Urgente,10.20,
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,T,Ambos sexos,Total,6.98,
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,T,Ambos sexos,Ordinario,9.14,
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,T,Ambos sexos,Urgente,6.66,
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,M,Hombres,Total,6.75,
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,M,Hombres,Ordinario,12.71,
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,M,Hombres,Urgente,5.98,
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,F,Mujeres,Total,7.19,
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,F,Mujeres,Ordinario,6.50,
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,F,Mujeres,Urgente,7.31,
1002 Neumonía J12-J18,T,Ambos sexos,Total,16.16,
1002 Neumonía J12-J18,T,Ambos sexos,Ordinario,35.55,
1002 Neumonía J12-J18,T,Ambos sexos,Urgente,11.11,
1002 Neumonía J12-J18,M,Hombres,Total,14.66,
1002 Neumonía J12-J18,M,Hombres,Ordinario,30.99,
1002 Neumonía J12-J18,M,Hombres,Urgente,10.74,
1002 Neumonía J12-J18,F,Mujeres,Total,17.78,
1002 Neumonía J12-J18,F,Mujeres,Ordinario,39.88,
1002 Neumonía J12-J18,F,Mujeres,Urgente,11.52,
1003 Otras infecciones agudas de las vias respiratorias inferiores J20-J22,T,Ambos sexos,Total,10.08,
1003 Otras infecciones agudas de las vias respiratorias inferiores J20-J22,T,Ambos sexos,Ordinario,26.33,
1003 Otras infecciones agudas de las vias respiratorias inferiores J20-J22,T,Ambos sexos,Urgente,6.90,
1003 Otras infecciones agudas de las vias respiratorias inferiores J20-J22,M,Hombres,Total,7.91,
1003 Otras infecciones agudas de las vias respiratorias inferiores J20-J22,M,Hombres,Ordinario,17.25,
1003 Otras infecciones agudas de las vias respiratorias inferiores J20-J22,M,Hombres,Urgente,6.42,
1003 Otras infecciones agudas de las vias respiratorias inferiores J20-J22,F,Mujeres,Total,12.18,
1003 Otras infecciones agudas de las vias respiratorias inferiores J20-J22,F,Mujeres,Ordinario,32.76,
1003 Otras infecciones agudas de las vias respiratorias inferiores J20-J22,F,Mujeres,Urgente,7.39,
1004 Enfermedad crónica de amígdalas y adenoides J35,T,Ambos sexos,Total,1.11,
1004 Enfermedad crónica de amígdalas y adenoides J35,T,Ambos sexos,Ordinario,1.11,
1004 Enfermedad crónica de amígdalas y adenoides J35,T,Ambos sexos,Urgente,1.17,
1004 Enfermedad crónica de amígdalas y adenoides J35,M,Hombres,Total,1.14,
1004 Enfermedad crónica de amígdalas y adenoides J35,M,Hombres,Ordinario,1.13,
1004 Enfermedad crónica de amígdalas y adenoides J35,M,Hombres,Urgente,1.27,
1004 Enfermedad crónica de amígdalas y adenoides J35,F,Mujeres,Total,1.09,
1004 Enfermedad crónica de amígdalas y adenoides J35,F,Mujeres,Ordinario,1.08,
1004 Enfermedad crónica de amígdalas y adenoides J35,F,Mujeres,Urgente,1.09,
"1005 Otras enfermedades del tracto respiratorio superior J30-J34, J36-J39",T,Ambos sexos,Total,3.39,
"1005 Otras enfermedades del tracto respiratorio superior J30-J34, J36-J39",T,Ambos sexos,Ordinario,3.52,
"1005 Otras enfermedades del tracto respiratorio superior J30-J34, J36-J39",T,Ambos sexos,Urgente,3.20,
"1005 Otras enfermedades del tracto respiratorio superior J30-J34, J36-J39",M,Hombres,Total,4.08,
"1005 Otras enfermedades del tracto respiratorio superior J30-J34, J36-J39",M,Hombres,Ordinario,4.71,
"1005 Otras enfermedades del tracto respiratorio superior J30-J34, J36-J39",M,Hombres,Urgente,3.00,
"1005 Otras enfermedades del tracto respiratorio superior J30-J34, J36-J39",F,Mujeres,Total,2.39,
"1005 Otras enfermedades del tracto respiratorio superior J30-J34, J36-J39",F,Mujeres,Ordinario,1.59,
"1005 Otras enfermedades del tracto respiratorio superior J30-J34, J36-J39",F,Mujeres,Urgente,3.44,
"1006 Enfermedad pulmonar obstructiva crónica y bronquiectasias J40-J44, J47",T,Ambos sexos,Total,17.03,
"1006 Enfermedad pulmonar obstructiva crónica y bronquiectasias J40-J44, J47",T,Ambos sexos,Ordinario,42.71,
"1006 Enfermedad pulmonar obstructiva crónica y bronquiectasias J40-J44, J47",T,Ambos sexos,Urgente,11.89,
"1006 Enfermedad pulmonar obstructiva crónica y bronquiectasias J40-J44, J47",M,Hombres,Total,17.48,
"1006 Enfermedad pulmonar obstructiva crónica y bronquiectasias J40-J44, J47",M,Hombres,Ordinario,46.54,
"1006 Enfermedad pulmonar obstructiva crónica y bronquiectasias J40-J44, J47",M,Hombres,Urgente,12.21,
"1006 Enfermedad pulmonar obstructiva crónica y bronquiectasias J40-J44, J47",F,Mujeres,Total,16.22,
"1006 Enfermedad pulmonar obstructiva crónica y bronquiectasias J40-J44, J47",F,Mujeres,Ordinario,37.17,
"1006 Enfermedad pulmonar obstructiva crónica y bronquiectasias J40-J44, J47",F,Mujeres,Urgente,11.28,
1007 Asma J45,T,Ambos sexos,Total,7.13,
1007 Asma J45,T,Ambos sexos,Ordinario,15.73,
1007 Asma J45,T,Ambos sexos,Urgente,6.52,
1007 Asma J45,M,Hombres,Total,6.78,
1007 Asma J45,M,Hombres,Ordinario,35.63,
1007 Asma J45,M,Hombres,Urgente,5.02,
1007 Asma J45,F,Mujeres,Total,7.32,
1007 Asma J45,F,Mujeres,Ordinario,7.15,
1007 Asma J45,F,Mujeres,Urgente,7.33,
1008 Otras Enfermedades del aparato respiratorio J60-J99,T,Ambos sexos,Total,22.51,
1008 Otras Enfermedades del aparato respiratorio J60-J99,T,Ambos sexos,Ordinario,74.38,
1008 Otras Enfermedades del aparato respiratorio J60-J99,T,Ambos sexos,Urgente,12.68,
1008 Otras Enfermedades del aparato respiratorio J60-J99,M,Hombres,Total,21.28,
1008 Otras Enfermedades del aparato respiratorio J60-J99,M,Hombres,Ordinario,66.54,
1008 Otras Enfermedades del aparato respiratorio J60-J99,M,Hombres,Urgente,12.97,
1008 Otras Enfermedades del aparato respiratorio J60-J99,F,Mujeres,Total,23.81,
1008 Otras Enfermedades del aparato respiratorio J60-J99,F,Mujeres,Ordinario,82.14,
1008 Otras Enfermedades del aparato respiratorio J60-J99,F,Mujeres,Urgente,12.37,
1100 Enfermedades del aparato digestivo K00-K95,T,Ambos sexos,Total,7.42,
1100 Enfermedades del aparato digestivo K00-K95,T,Ambos sexos,Ordinario,4.54,
1100 Enfermedades del aparato digestivo K00-K95,T,Ambos sexos,Urgente,9.09,
1100 Enfermedades del aparato digestivo K00-K95,M,Hombres,Total,7.14,
1100 Enfermedades del aparato digestivo K00-K95,M,Hombres,Ordinario,3.74,
1100 Enfermedades del aparato digestivo K00-K95,M,Hombres,Urgente,9.15,
1100 Enfermedades del aparato digestivo K00-K95,F,Mujeres,Total,7.75,
1100 Enfermedades del aparato digestivo K00-K95,F,Mujeres,Ordinario,5.51,
1100 Enfermedades del aparato digestivo K00-K95,F,Mujeres,Urgente,9.02,
1101 Trastornos de los dientes y de las estructuras de soporte K00-K08,T,Ambos sexos,Total,4.34,
1101 Trastornos de los dientes y de las estructuras de soporte K00-K08,T,Ambos sexos,Ordinario,3.03,
1101 Trastornos de los dientes y de las estructuras de soporte K00-K08,T,Ambos sexos,Urgente,5.12,
1101 Trastornos de los dientes y de las estructuras de soporte K00-K08,M,Hombres,Total,2.83,
1101 Trastornos de los dientes y de las estructuras de soporte K00-K08,M,Hombres,Ordinario,1.44,
1101 Trastornos de los dientes y de las estructuras de soporte K00-K08,M,Hombres,Urgente,4.00,
1101 Trastornos de los dientes y de las estructuras de soporte K00-K08,F,Mujeres,Total,5.53,
1101 Trastornos de los dientes y de las estructuras de soporte K00-K08,F,Mujeres,Ordinario,4.89,
1101 Trastornos de los dientes y de las estructuras de soporte K00-K08,F,Mujeres,Urgente,5.81,
"1102 Otras enfermedades de la cavidad oral, glándulas salivares y maxilares K09-K14",T,Ambos sexos,Total,5.06,
"1102 Otras enfermedades de la cavidad oral, glándulas salivares y maxilares K09-K14",T,Ambos sexos,Ordinario,1.75,
"1102 Otras enfermedades de la cavidad oral, glándulas salivares y maxilares K09-K14",T,Ambos sexos,Urgente,7.52,
"1102 Otras enfermedades de la cavidad oral, glándulas salivares y maxilares K09-K14",M,Hombres,Total,4.85,
