diagnosticos_principales,sexos_id,sexos_nombre,intervalos_estancia,estancia_media_residentes_canarias_dados_alta_cualquier_hospital_nacional,notas_observacion
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",M,Hombres,De 1 a 30 días,15.46,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",M,Hombres,De 31 días a 6 meses,64.64,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",M,Hombres,Más de 6 meses a 1 año,271.83,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",M,Hombres,Superior a 1 año,1515.15,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",F,Mujeres,Total,99.73,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",F,Mujeres,De 1 a 30 días,15.26,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",F,Mujeres,De 31 días a 6 meses,59.94,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",F,Mujeres,Más de 6 meses a 1 año,294.56,
"0504 Esquizofrenia, trastornos esquizotípicos y trastornos delirantes F20-F29",F,Mujeres,Superior a 1 año,1999.85,
0505 Trastornos del humor (afectivos)  F30-F39,T,Ambos sexos,Total,36.53,
0505 Trastornos del humor (afectivos)  F30-F39,T,Ambos sexos,De 1 a 30 días,13.96,
0505 Trastornos del humor (afectivos)  F30-F39,T,Ambos sexos,De 31 días a 6 meses,50.61,
0505 Trastornos del humor (afectivos)  F30-F39,T,Ambos sexos,Más de 6 meses a 1 año,245.42,
0505 Trastornos del humor (afectivos)  F30-F39,T,Ambos sexos,Superior a 1 año,1409.99,
0505 Trastornos del humor (afectivos)  F30-F39,M,Hombres,Total,42.65,
0505 Trastornos del humor (afectivos)  F30-F39,M,Hombres,De 1 a 30 días,13.85,
0505 Trastornos del humor (afectivos)  F30-F39,M,Hombres,De 31 días a 6 meses,47.52,
0505 Trastornos del humor (afectivos)  F30-F39,M,Hombres,Más de 6 meses a 1 año,210.51,
0505 Trastornos del humor (afectivos)  F30-F39,M,Hombres,Superior a 1 año,1465.80,
0505 Trastornos del humor (afectivos)  F30-F39,F,Mujeres,Total,31.91,
0505 Trastornos del humor (afectivos)  F30-F39,F,Mujeres,De 1 a 30 días,14.04,
0505 Trastornos del humor (afectivos)  F30-F39,F,Mujeres,De 31 días a 6 meses,53.99,
0505 Trastornos del humor (afectivos)  F30-F39,F,Mujeres,Más de 6 meses a 1 año,278.50,
0505 Trastornos del humor (afectivos)  F30-F39,F,Mujeres,Superior a 1 año,1338.15,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),T,Ambos sexos,Total,34.12,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),T,Ambos sexos,De 1 a 30 días,8.78,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),T,Ambos sexos,De 31 días a 6 meses,61.68,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),T,Ambos sexos,Más de 6 meses a 1 año,262.78,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),T,Ambos sexos,Superior a 1 año,2987.65,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),M,Hombres,Total,20.88,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),M,Hombres,De 1 a 30 días,8.42,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),M,Hombres,De 31 días a 6 meses,55.87,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),M,Hombres,Más de 6 meses a 1 año,279.70,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),M,Hombres,Superior a 1 año,497.16,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),F,Mujeres,Total,43.38,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),F,Mujeres,De 1 a 30 días,9.03,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),F,Mujeres,De 31 días a 6 meses,64.99,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),F,Mujeres,Más de 6 meses a 1 año,239.72,
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99),F,Mujeres,Superior a 1 año,4682.65,
0600 Enfermedades del sistema nervioso G00-G99,T,Ambos sexos,Total,22.51,
0600 Enfermedades del sistema nervioso G00-G99,T,Ambos sexos,De 1 a 30 días,7.91,
0600 Enfermedades del sistema nervioso G00-G99,T,Ambos sexos,De 31 días a 6 meses,68.03,
0600 Enfermedades del sistema nervioso G00-G99,T,Ambos sexos,Más de 6 meses a 1 año,249.80,
0600 Enfermedades del sistema nervioso G00-G99,T,Ambos sexos,Superior a 1 año,967.34,
0600 Enfermedades del sistema nervioso G00-G99,M,Hombres,Total,22.18,
0600 Enfermedades del sistema nervioso G00-G99,M,Hombres,De 1 a 30 días,8.25,
0600 Enfermedades del sistema nervioso G00-G99,M,Hombres,De 31 días a 6 meses,71.67,
0600 Enfermedades del sistema nervioso G00-G99,M,Hombres,Más de 6 meses a 1 año,245.41,
0600 Enfermedades del sistema nervioso G00-G99,M,Hombres,Superior a 1 año,856.21,
0600 Enfermedades del sistema nervioso G00-G99,F,Mujeres,Total,22.86,
0600 Enfermedades del sistema nervioso G00-G99,F,Mujeres,De 1 a 30 días,7.56,
0600 Enfermedades del sistema nervioso G00-G99,F,Mujeres,De 31 días a 6 meses,64.27,
0600 Enfermedades del sistema nervioso G00-G99,F,Mujeres,Más de 6 meses a 1 año,255.37,
0600 Enfermedades del sistema nervioso G00-G99,F,Mujeres,Superior a 1 año,1087.85,
0601 Enfermedad de Alzheimer G30,T,Ambos sexos,Total,141.72,
0601 Enfermedad de Alzheimer G30,T,Ambos sexos,De 1 a 30 días,10.75,
0601 Enfermedad de Alzheimer G30,T,Ambos sexos,De 31 días a 6 meses,88.53,
0601 Enfermedad de Alzheimer G30,T,Ambos sexos,Más de 6 meses a 1 año,244.88,
0601 Enfermedad de Alzheimer G30,T,Ambos sexos,Superior a 1 año,930.67,
0601 Enfermedad de Alzheimer G30,M,Hombres,Total,144.57,
0601 Enfermedad de Alzheimer G30,M,Hombres,De 1 a 30 días,10.61,
0601 Enfermedad de Alzheimer G30,M,Hombres,De 31 días a 6 meses,106.02,
0601 Enfermedad de Alzheimer G30,M,Hombres,Más de 6 meses a 1 año,218.64,
0601 Enfermedad de Alzheimer G30,M,Hombres,Superior a 1 año,839.50,
0601 Enfermedad de Alzheimer G30,F,Mujeres,Total,140.23,
0601 Enfermedad de Alzheimer G30,F,Mujeres,De 1 a 30 días,10.82,
0601 Enfermedad de Alzheimer G30,F,Mujeres,De 31 días a 6 meses,80.36,
0601 Enfermedad de Alzheimer G30,F,Mujeres,Más de 6 meses a 1 año,284.50,
0601 Enfermedad de Alzheimer G30,F,Mujeres,Superior a 1 año,976.25,
0602 Esclerosis múltiple G35,T,Ambos sexos,Total,17.03,
0602 Esclerosis múltiple G35,T,Ambos sexos,De 1 a 30 días,13.57,
0602 Esclerosis múltiple G35,T,Ambos sexos,De 31 días a 6 meses,68.50,
0602 Esclerosis múltiple G35,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0602 Esclerosis múltiple G35,T,Ambos sexos,Superior a 1 año,0.00,
0602 Esclerosis múltiple G35,M,Hombres,Total,19.70,
0602 Esclerosis múltiple G35,M,Hombres,De 1 a 30 días,16.44,
0602 Esclerosis múltiple G35,M,Hombres,De 31 días a 6 meses,58.00,
0602 Esclerosis múltiple G35,M,Hombres,Más de 6 meses a 1 año,0.00,
0602 Esclerosis múltiple G35,M,Hombres,Superior a 1 año,0.00,
0602 Esclerosis múltiple G35,F,Mujeres,Total,13.94,
0602 Esclerosis múltiple G35,F,Mujeres,De 1 a 30 días,10.35,
0602 Esclerosis múltiple G35,F,Mujeres,De 31 días a 6 meses,89.50,
0602 Esclerosis múltiple G35,F,Mujeres,Más de 6 meses a 1 año,0.00,
0602 Esclerosis múltiple G35,F,Mujeres,Superior a 1 año,0.00,
0603 Epilepsia G40,T,Ambos sexos,Total,14.84,
0603 Epilepsia G40,T,Ambos sexos,De 1 a 30 días,6.68,
0603 Epilepsia G40,T,Ambos sexos,De 31 días a 6 meses,64.43,
0603 Epilepsia G40,T,Ambos sexos,Más de 6 meses a 1 año,230.49,
0603 Epilepsia G40,T,Ambos sexos,Superior a 1 año,2028.00,
0603 Epilepsia G40,M,Hombres,Total,10.43,
0603 Epilepsia G40,M,Hombres,De 1 a 30 días,6.71,
0603 Epilepsia G40,M,Hombres,De 31 días a 6 meses,65.28,
0603 Epilepsia G40,M,Hombres,Más de 6 meses a 1 año,194.00,
0603 Epilepsia G40,M,Hombres,Superior a 1 año,0.00,
0603 Epilepsia G40,F,Mujeres,Total,20.08,
0603 Epilepsia G40,F,Mujeres,De 1 a 30 días,6.65,
0603 Epilepsia G40,F,Mujeres,De 31 días a 6 meses,63.41,
0603 Epilepsia G40,F,Mujeres,Más de 6 meses a 1 año,265.00,
0603 Epilepsia G40,F,Mujeres,Superior a 1 año,2028.00,
0604 Isquemia cerebral transitoria G45,T,Ambos sexos,Total,17.39,
0604 Isquemia cerebral transitoria G45,T,Ambos sexos,De 1 a 30 días,6.81,
0604 Isquemia cerebral transitoria G45,T,Ambos sexos,De 31 días a 6 meses,87.20,
0604 Isquemia cerebral transitoria G45,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0604 Isquemia cerebral transitoria G45,T,Ambos sexos,Superior a 1 año,815.75,
0604 Isquemia cerebral transitoria G45,M,Hombres,Total,19.99,
0604 Isquemia cerebral transitoria G45,M,Hombres,De 1 a 30 días,7.00,
0604 Isquemia cerebral transitoria G45,M,Hombres,De 31 días a 6 meses,85.00,
0604 Isquemia cerebral transitoria G45,M,Hombres,Más de 6 meses a 1 año,0.00,
0604 Isquemia cerebral transitoria G45,M,Hombres,Superior a 1 año,1134.50,
0604 Isquemia cerebral transitoria G45,F,Mujeres,Total,14.12,
0604 Isquemia cerebral transitoria G45,F,Mujeres,De 1 a 30 días,6.58,
0604 Isquemia cerebral transitoria G45,F,Mujeres,De 31 días a 6 meses,90.50,
0604 Isquemia cerebral transitoria G45,F,Mujeres,Más de 6 meses a 1 año,0.00,
0604 Isquemia cerebral transitoria G45,F,Mujeres,Superior a 1 año,497.00,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),T,Ambos sexos,Total,21.72,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),T,Ambos sexos,De 1 a 30 días,8.08,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),T,Ambos sexos,De 31 días a 6 meses,65.42,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),T,Ambos sexos,Más de 6 meses a 1 año,253.41,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),T,Ambos sexos,Superior a 1 año,952.79,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),M,Hombres,Total,22.97,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),M,Hombres,De 1 a 30 días,8.44,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),M,Hombres,De 31 días a 6 meses,70.12,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),M,Hombres,Más de 6 meses a 1 año,258.66,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),M,Hombres,Superior a 1 año,804.40,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),F,Mujeres,Total,20.41,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),F,Mujeres,De 1 a 30 días,7.71,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),F,Mujeres,De 31 días a 6 meses,60.33,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),F,Mujeres,Más de 6 meses a 1 año,246.84,
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99),F,Mujeres,Superior a 1 año,1202.50,
0700 Enfermedades del ojo y sus anexos H00-H59,T,Ambos sexos,Total,3.73,
0700 Enfermedades del ojo y sus anexos H00-H59,T,Ambos sexos,De 1 a 30 días,3.18,
0700 Enfermedades del ojo y sus anexos H00-H59,T,Ambos sexos,De 31 días a 6 meses,47.57,
0700 Enfermedades del ojo y sus anexos H00-H59,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0700 Enfermedades del ojo y sus anexos H00-H59,T,Ambos sexos,Superior a 1 año,0.00,
0700 Enfermedades del ojo y sus anexos H00-H59,M,Hombres,Total,3.88,
0700 Enfermedades del ojo y sus anexos H00-H59,M,Hombres,De 1 a 30 días,3.13,
0700 Enfermedades del ojo y sus anexos H00-H59,M,Hombres,De 31 días a 6 meses,50.86,
0700 Enfermedades del ojo y sus anexos H00-H59,M,Hombres,Más de 6 meses a 1 año,0.00,
0700 Enfermedades del ojo y sus anexos H00-H59,M,Hombres,Superior a 1 año,0.00,
0700 Enfermedades del ojo y sus anexos H00-H59,F,Mujeres,Total,3.54,
0700 Enfermedades del ojo y sus anexos H00-H59,F,Mujeres,De 1 a 30 días,3.23,
0700 Enfermedades del ojo y sus anexos H00-H59,F,Mujeres,De 31 días a 6 meses,40.10,
0700 Enfermedades del ojo y sus anexos H00-H59,F,Mujeres,Más de 6 meses a 1 año,0.00,
0700 Enfermedades del ojo y sus anexos H00-H59,F,Mujeres,Superior a 1 año,0.00,
"0701 Catarata H25-H26, H28",T,Ambos sexos,Total,2.62,
"0701 Catarata H25-H26, H28",T,Ambos sexos,De 1 a 30 días,1.76,
"0701 Catarata H25-H26, H28",T,Ambos sexos,De 31 días a 6 meses,47.36,
"0701 Catarata H25-H26, H28",T,Ambos sexos,Más de 6 meses a 1 año,0.00,
"0701 Catarata H25-H26, H28",T,Ambos sexos,Superior a 1 año,0.00,
"0701 Catarata H25-H26, H28",M,Hombres,Total,3.31,
"0701 Catarata H25-H26, H28",M,Hombres,De 1 a 30 días,2.18,
"0701 Catarata H25-H26, H28",M,Hombres,De 31 días a 6 meses,65.00,
"0701 Catarata H25-H26, H28",M,Hombres,Más de 6 meses a 1 año,0.00,
"0701 Catarata H25-H26, H28",M,Hombres,Superior a 1 año,0.00,
"0701 Catarata H25-H26, H28",F,Mujeres,Total,1.91,
"0701 Catarata H25-H26, H28",F,Mujeres,De 1 a 30 días,1.33,
"0701 Catarata H25-H26, H28",F,Mujeres,De 31 días a 6 meses,31.00,
"0701 Catarata H25-H26, H28",F,Mujeres,Más de 6 meses a 1 año,0.00,
"0701 Catarata H25-H26, H28",F,Mujeres,Superior a 1 año,0.00,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),T,Ambos sexos,Total,3.91,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),T,Ambos sexos,De 1 a 30 días,3.40,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),T,Ambos sexos,De 31 días a 6 meses,47.63,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),T,Ambos sexos,Superior a 1 año,0.00,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),M,Hombres,Total,3.97,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),M,Hombres,De 1 a 30 días,3.27,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),M,Hombres,De 31 días a 6 meses,48.50,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),M,Hombres,Más de 6 meses a 1 año,0.00,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),M,Hombres,Superior a 1 año,0.00,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),F,Mujeres,Total,3.83,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),F,Mujeres,De 1 a 30 días,3.56,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),F,Mujeres,De 31 días a 6 meses,45.00,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),F,Mujeres,Más de 6 meses a 1 año,0.00,
0702 Otras Enfermedades del ojo y sus anexos Resto de (H00-H59),F,Mujeres,Superior a 1 año,0.00,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,T,Ambos sexos,Total,3.96,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,T,Ambos sexos,De 1 a 30 días,2.92,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,T,Ambos sexos,De 31 días a 6 meses,63.60,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,T,Ambos sexos,Más de 6 meses a 1 año,266.00,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,T,Ambos sexos,Superior a 1 año,0.00,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,M,Hombres,Total,3.95,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,M,Hombres,De 1 a 30 días,3.01,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,M,Hombres,De 31 días a 6 meses,68.75,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,M,Hombres,Más de 6 meses a 1 año,0.00,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,M,Hombres,Superior a 1 año,0.00,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,F,Mujeres,Total,3.96,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,F,Mujeres,De 1 a 30 días,2.83,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,F,Mujeres,De 31 días a 6 meses,43.00,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,F,Mujeres,Más de 6 meses a 1 año,266.00,
0800 Enfermedades del oído y de la apófisis mastoides H60-H95,F,Mujeres,Superior a 1 año,0.00,
0900 Enfermedades del aparato circulatorio I00-I99,T,Ambos sexos,Total,14.74,
0900 Enfermedades del aparato circulatorio I00-I99,T,Ambos sexos,De 1 a 30 días,8.01,
0900 Enfermedades del aparato circulatorio I00-I99,T,Ambos sexos,De 31 días a 6 meses,58.13,
0900 Enfermedades del aparato circulatorio I00-I99,T,Ambos sexos,Más de 6 meses a 1 año,232.55,
0900 Enfermedades del aparato circulatorio I00-I99,T,Ambos sexos,Superior a 1 año,868.13,
0900 Enfermedades del aparato circulatorio I00-I99,M,Hombres,Total,14.01,
0900 Enfermedades del aparato circulatorio I00-I99,M,Hombres,De 1 a 30 días,7.88,
0900 Enfermedades del aparato circulatorio I00-I99,M,Hombres,De 31 días a 6 meses,57.45,
0900 Enfermedades del aparato circulatorio I00-I99,M,Hombres,Más de 6 meses a 1 año,232.17,
0900 Enfermedades del aparato circulatorio I00-I99,M,Hombres,Superior a 1 año,964.47,
0900 Enfermedades del aparato circulatorio I00-I99,F,Mujeres,Total,15.75,
0900 Enfermedades del aparato circulatorio I00-I99,F,Mujeres,De 1 a 30 días,8.21,
0900 Enfermedades del aparato circulatorio I00-I99,F,Mujeres,De 31 días a 6 meses,58.99,
0900 Enfermedades del aparato circulatorio I00-I99,F,Mujeres,Más de 6 meses a 1 año,232.94,
0900 Enfermedades del aparato circulatorio I00-I99,F,Mujeres,Superior a 1 año,787.80,
0901 Enfermedad hipertensiva I10-I16,T,Ambos sexos,Total,16.72,
0901 Enfermedad hipertensiva I10-I16,T,Ambos sexos,De 1 a 30 días,9.84,
0901 Enfermedad hipertensiva I10-I16,T,Ambos sexos,De 31 días a 6 meses,55.12,
0901 Enfermedad hipertensiva I10-I16,T,Ambos sexos,Más de 6 meses a 1 año,230.93,
0901 Enfermedad hipertensiva I10-I16,T,Ambos sexos,Superior a 1 año,726.01,
0901 Enfermedad hipertensiva I10-I16,M,Hombres,Total,15.79,
0901 Enfermedad hipertensiva I10-I16,M,Hombres,De 1 a 30 días,9.80,
0901 Enfermedad hipertensiva I10-I16,M,Hombres,De 31 días a 6 meses,51.96,
0901 Enfermedad hipertensiva I10-I16,M,Hombres,Más de 6 meses a 1 año,248.83,
0901 Enfermedad hipertensiva I10-I16,M,Hombres,Superior a 1 año,707.09,
0901 Enfermedad hipertensiva I10-I16,F,Mujeres,Total,17.52,
0901 Enfermedad hipertensiva I10-I16,F,Mujeres,De 1 a 30 días,9.87,
0901 Enfermedad hipertensiva I10-I16,F,Mujeres,De 31 días a 6 meses,57.67,
0901 Enfermedad hipertensiva I10-I16,F,Mujeres,Más de 6 meses a 1 año,215.92,
0901 Enfermedad hipertensiva I10-I16,F,Mujeres,Superior a 1 año,737.05,
0902 Angina de pecho I20,T,Ambos sexos,Total,6.69,
0902 Angina de pecho I20,T,Ambos sexos,De 1 a 30 días,6.05,
0902 Angina de pecho I20,T,Ambos sexos,De 31 días a 6 meses,49.00,
0902 Angina de pecho I20,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0902 Angina de pecho I20,T,Ambos sexos,Superior a 1 año,0.00,
0902 Angina de pecho I20,M,Hombres,Total,6.78,
0902 Angina de pecho I20,M,Hombres,De 1 a 30 días,5.95,
0902 Angina de pecho I20,M,Hombres,De 31 días a 6 meses,51.60,
0902 Angina de pecho I20,M,Hombres,Más de 6 meses a 1 año,0.00,
0902 Angina de pecho I20,M,Hombres,Superior a 1 año,0.00,
0902 Angina de pecho I20,F,Mujeres,Total,6.49,
0902 Angina de pecho I20,F,Mujeres,De 1 a 30 días,6.26,
0902 Angina de pecho I20,F,Mujeres,De 31 días a 6 meses,36.00,
0902 Angina de pecho I20,F,Mujeres,Más de 6 meses a 1 año,0.00,
0902 Angina de pecho I20,F,Mujeres,Superior a 1 año,0.00,
0903 Infarto agudo de miocardio I21-I22,T,Ambos sexos,Total,11.17,
0903 Infarto agudo de miocardio I21-I22,T,Ambos sexos,De 1 a 30 días,7.00,
0903 Infarto agudo de miocardio I21-I22,T,Ambos sexos,De 31 días a 6 meses,55.52,
0903 Infarto agudo de miocardio I21-I22,T,Ambos sexos,Más de 6 meses a 1 año,225.00,
0903 Infarto agudo de miocardio I21-I22,T,Ambos sexos,Superior a 1 año,1526.38,
0903 Infarto agudo de miocardio I21-I22,M,Hombres,Total,10.47,
0903 Infarto agudo de miocardio I21-I22,M,Hombres,De 1 a 30 días,6.87,
0903 Infarto agudo de miocardio I21-I22,M,Hombres,De 31 días a 6 meses,53.24,
0903 Infarto agudo de miocardio I21-I22,M,Hombres,Más de 6 meses a 1 año,225.00,
0903 Infarto agudo de miocardio I21-I22,M,Hombres,Superior a 1 año,2141.50,
0903 Infarto agudo de miocardio I21-I22,F,Mujeres,Total,12.78,
0903 Infarto agudo de miocardio I21-I22,F,Mujeres,De 1 a 30 días,7.31,
0903 Infarto agudo de miocardio I21-I22,F,Mujeres,De 31 días a 6 meses,61.08,
0903 Infarto agudo de miocardio I21-I22,F,Mujeres,Más de 6 meses a 1 año,0.00,
0903 Infarto agudo de miocardio I21-I22,F,Mujeres,Superior a 1 año,1118.92,
0904 Otras enfermedades isquémicas del corazón I23-I25,T,Ambos sexos,Total,7.91,
0904 Otras enfermedades isquémicas del corazón I23-I25,T,Ambos sexos,De 1 a 30 días,6.98,
0904 Otras enfermedades isquémicas del corazón I23-I25,T,Ambos sexos,De 31 días a 6 meses,43.97,
0904 Otras enfermedades isquémicas del corazón I23-I25,T,Ambos sexos,Más de 6 meses a 1 año,0.00,
0904 Otras enfermedades isquémicas del corazón I23-I25,T,Ambos sexos,Superior a 1 año,0.00,
0904 Otras enfermedades isquémicas del corazón I23-I25,M,Hombres,Total,8.03,
0904 Otras enfermedades isquémicas del corazón I23-I25,M,Hombres,De 1 a 30 días,7.01,
0904 Otras enfermedades isquémicas del corazón I23-I25,M,Hombres,De 31 días a 6 meses,42.70,
0904 Otras enfermedades isquémicas del corazón I23-I25,M,Hombres,Más de 6 meses a 1 año,0.00,
0904 Otras enfermedades isquémicas del corazón I23-I25,M,Hombres,Superior a 1 año,0.00,
0904 Otras enfermedades isquémicas del corazón I23-I25,F,Mujeres,Total,7.56,
0904 Otras enfermedades isquémicas del corazón I23-I25,F,Mujeres,De 1 a 30 días,6.90,
0904 Otras enfermedades isquémicas del corazón I23-I25,F,Mujeres,De 31 días a 6 meses,51.60,
0904 Otras enfermedades isquémicas del corazón I23-I25,F,Mujeres,Más de 6 meses a 1 año,0.00,
0904 Otras enfermedades isquémicas del corazón I23-I25,F,Mujeres,Superior a 1 año,0.00,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,T,Ambos sexos,Total,15.16,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,T,Ambos sexos,De 1 a 30 días,9.69,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,T,Ambos sexos,De 31 días a 6 meses,57.87,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,T,Ambos sexos,Más de 6 meses a 1 año,313.39,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,T,Ambos sexos,Superior a 1 año,1068.00,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,M,Hombres,Total,16.22,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,M,Hombres,De 1 a 30 días,9.26,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,M,Hombres,De 31 días a 6 meses,61.91,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,M,Hombres,Más de 6 meses a 1 año,302.00,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,M,Hombres,Superior a 1 año,1068.00,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,F,Mujeres,Total,14.21,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,F,Mujeres,De 1 a 30 días,10.07,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,F,Mujeres,De 31 días a 6 meses,54.91,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,F,Mujeres,Más de 6 meses a 1 año,325.00,
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,F,Mujeres,Superior a 1 año,0.00,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,T,Ambos sexos,Total,7.56,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,T,Ambos sexos,De 1 a 30 días,4.79,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,T,Ambos sexos,De 31 días a 6 meses,56.55,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,T,Ambos sexos,Más de 6 meses a 1 año,286.00,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,T,Ambos sexos,Superior a 1 año,1618.50,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,M,Hombres,Total,5.79,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,M,Hombres,De 1 a 30 días,4.87,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,M,Hombres,De 31 días a 6 meses,54.09,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,M,Hombres,Más de 6 meses a 1 año,0.00,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,M,Hombres,Superior a 1 año,0.00,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,F,Mujeres,Total,10.23,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,F,Mujeres,De 1 a 30 días,4.67,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,F,Mujeres,De 31 días a 6 meses,59.94,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,F,Mujeres,Más de 6 meses a 1 año,286.00,
0906 Trastornos de conducción y disritmias cardiacas I44-I49,F,Mujeres,Superior a 1 año,1618.50,
