diagnosticos_principales;sexos_id;sexos_nombre;grupos_edad_id;grupos_edad_nombre;estancia_media_residentes_canarias_dados_alta_cualquier_hospital_nacional
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;0;Menores de 1 año;0.00
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;1;De 1 a 4 años;1.00
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;2;De 5 a 14 años;15.19
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;3;De 15 a 24 años;6.78
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;4;De 25 a 34 años;19.14
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;5;De 35 a 44 años;103.50
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;6;De 45 a 54 años;166.83
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;7;De 55 a 64 años;36.18
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;8;De 65 a 74 años;119.02
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;9;De 75 a 84 años;218.21
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;10;De 85 a 89 años;113.40
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;11;De 90 a 94 años;326.60
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);M;Hombres;12;De 95 y más años;2.00
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;T;Total grupos de edad;31.82
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;0;Menores de 1 año;4.00
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;1;De 1 a 4 años;6.00
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;2;De 5 a 14 años;22.12
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;3;De 15 a 24 años;23.35
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;4;De 25 a 34 años;17.09
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;5;De 35 a 44 años;14.23
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;6;De 45 a 54 años;28.02
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;7;De 55 a 64 años;56.86
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;8;De 65 a 74 años;15.97
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;9;De 75 a 84 años;69.95
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;10;De 85 a 89 años;113.54
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;11;De 90 a 94 años;16.30
0506 Otros Trastornos mentales y de comportamiento Resto de (F01-F99);F;Mujeres;12;De 95 y más años;10.50
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;T;Total grupos de edad;18.85
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;0;Menores de 1 año;14.90
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;1;De 1 a 4 años;3.92
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;2;De 5 a 14 años;4.79
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;3;De 15 a 24 años;7.83
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;4;De 25 a 34 años;6.49
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;5;De 35 a 44 años;8.94
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;6;De 45 a 54 años;11.50
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;7;De 55 a 64 años;18.32
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;8;De 65 a 74 años;29.80
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;9;De 75 a 84 años;32.09
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;10;De 85 a 89 años;37.27
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;11;De 90 a 94 años;17.36
0600 Enfermedades del sistema nervioso G00-G99;T;Ambos sexos;12;De 95 y más años;6.19
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;T;Total grupos de edad;15.97
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;0;Menores de 1 año;6.47
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;1;De 1 a 4 años;4.55
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;2;De 5 a 14 años;3.96
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;3;De 15 a 24 años;8.42
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;4;De 25 a 34 años;5.43
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;5;De 35 a 44 años;7.46
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;6;De 45 a 54 años;11.21
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;7;De 55 a 64 años;19.62
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;8;De 65 a 74 años;22.49
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;9;De 75 a 84 años;25.34
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;10;De 85 a 89 años;20.36
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;11;De 90 a 94 años;11.73
0600 Enfermedades del sistema nervioso G00-G99;M;Hombres;12;De 95 y más años;4.56
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;T;Total grupos de edad;21.84
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;0;Menores de 1 año;28.58
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;1;De 1 a 4 años;2.58
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;2;De 5 a 14 años;5.49
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;3;De 15 a 24 años;7.32
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;4;De 25 a 34 años;7.41
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;5;De 35 a 44 años;10.05
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;6;De 45 a 54 años;11.82
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;7;De 55 a 64 años;16.69
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;8;De 65 a 74 años;38.17
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;9;De 75 a 84 años;39.83
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;10;De 85 a 89 años;47.00
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;11;De 90 a 94 años;21.04
0600 Enfermedades del sistema nervioso G00-G99;F;Mujeres;12;De 95 y más años;7.82
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;T;Total grupos de edad;200.40
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;0;Menores de 1 año;0.00
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;1;De 1 a 4 años;0.00
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;2;De 5 a 14 años;0.00
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;3;De 15 a 24 años;0.00
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;4;De 25 a 34 años;0.00
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;5;De 35 a 44 años;0.00
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;6;De 45 a 54 años;0.00
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;7;De 55 a 64 años;131.00
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;8;De 65 a 74 años;305.22
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;9;De 75 a 84 años;211.07
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;10;De 85 a 89 años;162.99
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;11;De 90 a 94 años;50.68
0601 Enfermedad de Alzheimer G30;T;Ambos sexos;12;De 95 y más años;3.50
0601 Enfermedad de Alzheimer G30;M;Hombres;T;Total grupos de edad;118.54
0601 Enfermedad de Alzheimer G30;M;Hombres;0;Menores de 1 año;0.00
0601 Enfermedad de Alzheimer G30;M;Hombres;1;De 1 a 4 años;0.00
0601 Enfermedad de Alzheimer G30;M;Hombres;2;De 5 a 14 años;0.00
0601 Enfermedad de Alzheimer G30;M;Hombres;3;De 15 a 24 años;0.00
0601 Enfermedad de Alzheimer G30;M;Hombres;4;De 25 a 34 años;0.00
0601 Enfermedad de Alzheimer G30;M;Hombres;5;De 35 a 44 años;0.00
0601 Enfermedad de Alzheimer G30;M;Hombres;6;De 45 a 54 años;0.00
0601 Enfermedad de Alzheimer G30;M;Hombres;7;De 55 a 64 años;0.00
0601 Enfermedad de Alzheimer G30;M;Hombres;8;De 65 a 74 años;77.44
0601 Enfermedad de Alzheimer G30;M;Hombres;9;De 75 a 84 años;259.19
0601 Enfermedad de Alzheimer G30;M;Hombres;10;De 85 a 89 años;10.20
0601 Enfermedad de Alzheimer G30;M;Hombres;11;De 90 a 94 años;7.00
0601 Enfermedad de Alzheimer G30;M;Hombres;12;De 95 y más años;3.50
0601 Enfermedad de Alzheimer G30;F;Mujeres;T;Total grupos de edad;246.81
0601 Enfermedad de Alzheimer G30;F;Mujeres;0;Menores de 1 año;0.00
0601 Enfermedad de Alzheimer G30;F;Mujeres;1;De 1 a 4 años;0.00
0601 Enfermedad de Alzheimer G30;F;Mujeres;2;De 5 a 14 años;0.00
0601 Enfermedad de Alzheimer G30;F;Mujeres;3;De 15 a 24 años;0.00
0601 Enfermedad de Alzheimer G30;F;Mujeres;4;De 25 a 34 años;0.00
0601 Enfermedad de Alzheimer G30;F;Mujeres;5;De 35 a 44 años;0.00
0601 Enfermedad de Alzheimer G30;F;Mujeres;6;De 45 a 54 años;0.00
0601 Enfermedad de Alzheimer G30;F;Mujeres;7;De 55 a 64 años;131.00
0601 Enfermedad de Alzheimer G30;F;Mujeres;8;De 65 a 74 años;533.00
0601 Enfermedad de Alzheimer G30;F;Mujeres;9;De 75 a 84 años;187.01
0601 Enfermedad de Alzheimer G30;F;Mujeres;10;De 85 a 89 años;210.39
0601 Enfermedad de Alzheimer G30;F;Mujeres;11;De 90 a 94 años;67.98
0601 Enfermedad de Alzheimer G30;F;Mujeres;12;De 95 y más años;0.00
0602 Esclerosis múltiple G35;T;Ambos sexos;T;Total grupos de edad;21.13
0602 Esclerosis múltiple G35;T;Ambos sexos;0;Menores de 1 año;0.00
0602 Esclerosis múltiple G35;T;Ambos sexos;1;De 1 a 4 años;0.00
0602 Esclerosis múltiple G35;T;Ambos sexos;2;De 5 a 14 años;0.00
0602 Esclerosis múltiple G35;T;Ambos sexos;3;De 15 a 24 años;8.50
0602 Esclerosis múltiple G35;T;Ambos sexos;4;De 25 a 34 años;8.33
0602 Esclerosis múltiple G35;T;Ambos sexos;5;De 35 a 44 años;39.30
0602 Esclerosis múltiple G35;T;Ambos sexos;6;De 45 a 54 años;8.77
0602 Esclerosis múltiple G35;T;Ambos sexos;7;De 55 a 64 años;26.99
0602 Esclerosis múltiple G35;T;Ambos sexos;8;De 65 a 74 años;18.81
0602 Esclerosis múltiple G35;T;Ambos sexos;9;De 75 a 84 años;0.00
0602 Esclerosis múltiple G35;T;Ambos sexos;10;De 85 a 89 años;0.00
0602 Esclerosis múltiple G35;T;Ambos sexos;11;De 90 a 94 años;0.00
0602 Esclerosis múltiple G35;T;Ambos sexos;12;De 95 y más años;0.00
0602 Esclerosis múltiple G35;M;Hombres;T;Total grupos de edad;31.68
0602 Esclerosis múltiple G35;M;Hombres;0;Menores de 1 año;0.00
0602 Esclerosis múltiple G35;M;Hombres;1;De 1 a 4 años;0.00
0602 Esclerosis múltiple G35;M;Hombres;2;De 5 a 14 años;0.00
0602 Esclerosis múltiple G35;M;Hombres;3;De 15 a 24 años;0.00
0602 Esclerosis múltiple G35;M;Hombres;4;De 25 a 34 años;8.67
0602 Esclerosis múltiple G35;M;Hombres;5;De 35 a 44 años;56.00
0602 Esclerosis múltiple G35;M;Hombres;6;De 45 a 54 años;9.00
0602 Esclerosis múltiple G35;M;Hombres;7;De 55 a 64 años;53.14
0602 Esclerosis múltiple G35;M;Hombres;8;De 65 a 74 años;19.41
0602 Esclerosis múltiple G35;M;Hombres;9;De 75 a 84 años;0.00
0602 Esclerosis múltiple G35;M;Hombres;10;De 85 a 89 años;0.00
0602 Esclerosis múltiple G35;M;Hombres;11;De 90 a 94 años;0.00
0602 Esclerosis múltiple G35;M;Hombres;12;De 95 y más años;0.00
0602 Esclerosis múltiple G35;F;Mujeres;T;Total grupos de edad;16.99
0602 Esclerosis múltiple G35;F;Mujeres;0;Menores de 1 año;0.00
0602 Esclerosis múltiple G35;F;Mujeres;1;De 1 a 4 años;0.00
0602 Esclerosis múltiple G35;F;Mujeres;2;De 5 a 14 años;0.00
0602 Esclerosis múltiple G35;F;Mujeres;3;De 15 a 24 años;8.50
0602 Esclerosis múltiple G35;F;Mujeres;4;De 25 a 34 años;8.22
0602 Esclerosis múltiple G35;F;Mujeres;5;De 35 a 44 años;37.92
0602 Esclerosis múltiple G35;F;Mujeres;6;De 45 a 54 años;8.67
0602 Esclerosis múltiple G35;F;Mujeres;7;De 55 a 64 años;9.11
0602 Esclerosis múltiple G35;F;Mujeres;8;De 65 a 74 años;17.00
0602 Esclerosis múltiple G35;F;Mujeres;9;De 75 a 84 años;0.00
0602 Esclerosis múltiple G35;F;Mujeres;10;De 85 a 89 años;0.00
0602 Esclerosis múltiple G35;F;Mujeres;11;De 90 a 94 años;0.00
0602 Esclerosis múltiple G35;F;Mujeres;12;De 95 y más años;0.00
0603 Epilepsia G40;T;Ambos sexos;T;Total grupos de edad;11.67
0603 Epilepsia G40;T;Ambos sexos;0;Menores de 1 año;7.71
0603 Epilepsia G40;T;Ambos sexos;1;De 1 a 4 años;4.02
0603 Epilepsia G40;T;Ambos sexos;2;De 5 a 14 años;4.77
0603 Epilepsia G40;T;Ambos sexos;3;De 15 a 24 años;7.00
0603 Epilepsia G40;T;Ambos sexos;4;De 25 a 34 años;6.20
0603 Epilepsia G40;T;Ambos sexos;5;De 35 a 44 años;5.85
0603 Epilepsia G40;T;Ambos sexos;6;De 45 a 54 años;9.67
0603 Epilepsia G40;T;Ambos sexos;7;De 55 a 64 años;18.16
0603 Epilepsia G40;T;Ambos sexos;8;De 65 a 74 años;20.30
0603 Epilepsia G40;T;Ambos sexos;9;De 75 a 84 años;18.90
0603 Epilepsia G40;T;Ambos sexos;10;De 85 a 89 años;20.02
0603 Epilepsia G40;T;Ambos sexos;11;De 90 a 94 años;8.87
0603 Epilepsia G40;T;Ambos sexos;12;De 95 y más años;10.33
0603 Epilepsia G40;M;Hombres;T;Total grupos de edad;11.38
0603 Epilepsia G40;M;Hombres;0;Menores de 1 año;6.09
0603 Epilepsia G40;M;Hombres;1;De 1 a 4 años;4.58
0603 Epilepsia G40;M;Hombres;2;De 5 a 14 años;4.99
0603 Epilepsia G40;M;Hombres;3;De 15 a 24 años;8.85
0603 Epilepsia G40;M;Hombres;4;De 25 a 34 años;3.99
0603 Epilepsia G40;M;Hombres;5;De 35 a 44 años;5.91
0603 Epilepsia G40;M;Hombres;6;De 45 a 54 años;12.41
0603 Epilepsia G40;M;Hombres;7;De 55 a 64 años;21.11
0603 Epilepsia G40;M;Hombres;8;De 65 a 74 años;17.35
0603 Epilepsia G40;M;Hombres;9;De 75 a 84 años;10.47
0603 Epilepsia G40;M;Hombres;10;De 85 a 89 años;26.75
0603 Epilepsia G40;M;Hombres;11;De 90 a 94 años;13.28
0603 Epilepsia G40;M;Hombres;12;De 95 y más años;4.00
0603 Epilepsia G40;F;Mujeres;T;Total grupos de edad;11.99
0603 Epilepsia G40;F;Mujeres;0;Menores de 1 año;10.67
0603 Epilepsia G40;F;Mujeres;1;De 1 a 4 años;3.00
0603 Epilepsia G40;F;Mujeres;2;De 5 a 14 años;4.57
0603 Epilepsia G40;F;Mujeres;3;De 15 a 24 años;4.89
0603 Epilepsia G40;F;Mujeres;4;De 25 a 34 años;8.13
0603 Epilepsia G40;F;Mujeres;5;De 35 a 44 años;5.80
0603 Epilepsia G40;F;Mujeres;6;De 45 a 54 años;6.38
0603 Epilepsia G40;F;Mujeres;7;De 55 a 64 años;12.08
0603 Epilepsia G40;F;Mujeres;8;De 65 a 74 años;24.39
0603 Epilepsia G40;F;Mujeres;9;De 75 a 84 años;25.86
0603 Epilepsia G40;F;Mujeres;10;De 85 a 89 años;17.86
0603 Epilepsia G40;F;Mujeres;11;De 90 a 94 años;5.17
0603 Epilepsia G40;F;Mujeres;12;De 95 y más años;13.50
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;T;Total grupos de edad;7.74
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;0;Menores de 1 año;0.00
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;1;De 1 a 4 años;0.00
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;2;De 5 a 14 años;0.00
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;3;De 15 a 24 años;0.00
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;4;De 25 a 34 años;5.50
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;5;De 35 a 44 años;4.82
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;6;De 45 a 54 años;7.71
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;7;De 55 a 64 años;7.90
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;8;De 65 a 74 años;6.32
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;9;De 75 a 84 años;7.92
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;10;De 85 a 89 años;8.07
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;11;De 90 a 94 años;25.67
0604 Isquemia cerebral transitoria G45;T;Ambos sexos;12;De 95 y más años;6.67
0604 Isquemia cerebral transitoria G45;M;Hombres;T;Total grupos de edad;7.62
0604 Isquemia cerebral transitoria G45;M;Hombres;0;Menores de 1 año;0.00
0604 Isquemia cerebral transitoria G45;M;Hombres;1;De 1 a 4 años;0.00
0604 Isquemia cerebral transitoria G45;M;Hombres;2;De 5 a 14 años;0.00
0604 Isquemia cerebral transitoria G45;M;Hombres;3;De 15 a 24 años;0.00
0604 Isquemia cerebral transitoria G45;M;Hombres;4;De 25 a 34 años;5.50
0604 Isquemia cerebral transitoria G45;M;Hombres;5;De 35 a 44 años;5.58
0604 Isquemia cerebral transitoria G45;M;Hombres;6;De 45 a 54 años;7.72
0604 Isquemia cerebral transitoria G45;M;Hombres;7;De 55 a 64 años;7.87
0604 Isquemia cerebral transitoria G45;M;Hombres;8;De 65 a 74 años;6.67
0604 Isquemia cerebral transitoria G45;M;Hombres;9;De 75 a 84 años;7.57
0604 Isquemia cerebral transitoria G45;M;Hombres;10;De 85 a 89 años;10.14
0604 Isquemia cerebral transitoria G45;M;Hombres;11;De 90 a 94 años;16.00
0604 Isquemia cerebral transitoria G45;M;Hombres;12;De 95 y más años;6.67
0604 Isquemia cerebral transitoria G45;F;Mujeres;T;Total grupos de edad;7.93
0604 Isquemia cerebral transitoria G45;F;Mujeres;0;Menores de 1 año;0.00
0604 Isquemia cerebral transitoria G45;F;Mujeres;1;De 1 a 4 años;0.00
0604 Isquemia cerebral transitoria G45;F;Mujeres;2;De 5 a 14 años;0.00
0604 Isquemia cerebral transitoria G45;F;Mujeres;3;De 15 a 24 años;0.00
0604 Isquemia cerebral transitoria G45;F;Mujeres;4;De 25 a 34 años;0.00
0604 Isquemia cerebral transitoria G45;F;Mujeres;5;De 35 a 44 años;3.00
0604 Isquemia cerebral transitoria G45;F;Mujeres;6;De 45 a 54 años;7.69
0604 Isquemia cerebral transitoria G45;F;Mujeres;7;De 55 a 64 años;7.95
0604 Isquemia cerebral transitoria G45;F;Mujeres;8;De 65 a 74 años;5.72
0604 Isquemia cerebral transitoria G45;F;Mujeres;9;De 75 a 84 años;8.45
0604 Isquemia cerebral transitoria G45;F;Mujeres;10;De 85 a 89 años;6.25
0604 Isquemia cerebral transitoria G45;F;Mujeres;11;De 90 a 94 años;35.33
0604 Isquemia cerebral transitoria G45;F;Mujeres;12;De 95 y más años;0.00
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;T;Total grupos de edad;15.71
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;0;Menores de 1 año;31.77
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;1;De 1 a 4 años;3.76
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;2;De 5 a 14 años;4.81
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;3;De 15 a 24 años;8.15
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;4;De 25 a 34 años;6.40
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;5;De 35 a 44 años;7.90
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;6;De 45 a 54 años;12.29
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;7;De 55 a 64 años;19.15
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;8;De 65 a 74 años;21.42
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;9;De 75 a 84 años;24.50
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;10;De 85 a 89 años;25.32
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;11;De 90 a 94 años;7.32
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);T;Ambos sexos;12;De 95 y más años;4.82
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;T;Total grupos de edad;15.90
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;0;Menores de 1 año;7.50
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;1;De 1 a 4 años;4.51
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;2;De 5 a 14 años;2.80
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;3;De 15 a 24 años;8.21
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;4;De 25 a 34 años;5.64
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;5;De 35 a 44 años;7.36
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;6;De 45 a 54 años;11.44
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;7;De 55 a 64 años;20.08
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;8;De 65 a 74 años;24.79
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;9;De 75 a 84 años;20.09
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;10;De 85 a 89 años;25.72
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;11;De 90 a 94 años;10.14
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);M;Hombres;12;De 95 y más años;1.00
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;T;Total grupos de edad;15.53
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;0;Menores de 1 año;61.60
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;1;De 1 a 4 años;1.67
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;2;De 5 a 14 años;6.39
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;3;De 15 a 24 años;8.10
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;4;De 25 a 34 años;7.07
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;5;De 35 a 44 años;8.31
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;6;De 45 a 54 años;13.14
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;7;De 55 a 64 años;18.07
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;8;De 65 a 74 años;17.99
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;9;De 75 a 84 años;30.13
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;10;De 85 a 89 años;25.05
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;11;De 90 a 94 años;5.67
0605 Otras Enfermedades del sistema nervioso Resto de (G00-G99);F;Mujeres;12;De 95 y más años;5.58
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;T;Total grupos de edad;3.64
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;0;Menores de 1 año;2.36
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;1;De 1 a 4 años;2.65
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;2;De 5 a 14 años;2.98
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;3;De 15 a 24 años;4.20
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;4;De 25 a 34 años;3.26
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;5;De 35 a 44 años;3.78
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;6;De 45 a 54 años;5.02
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;7;De 55 a 64 años;3.36
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;8;De 65 a 74 años;2.84
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;9;De 75 a 84 años;3.32
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;10;De 85 a 89 años;4.58
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;11;De 90 a 94 años;17.05
0700 Enfermedades del ojo y sus anexos H00-H59;T;Ambos sexos;12;De 95 y más años;7.00
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;T;Total grupos de edad;3.79
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;0;Menores de 1 año;2.56
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;1;De 1 a 4 años;3.60
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;2;De 5 a 14 años;2.45
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;3;De 15 a 24 años;3.53
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;4;De 25 a 34 años;2.29
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;5;De 35 a 44 años;4.39
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;6;De 45 a 54 años;5.81
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;7;De 55 a 64 años;3.09
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;8;De 65 a 74 años;2.60
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;9;De 75 a 84 años;3.12
0700 Enfermedades del ojo y sus anexos H00-H59;M;Hombres;10;De 85 a 89 años;2.39
